rank,filename,year,journal,study_type,topics,importance,title
1,Xie_2025,2025,Antimicrobial agents and chemotherapy,animal_model,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,98,"Contribution of RND superfamily multidrug efflux pumps AdeABC, AdeFGH, and AdeIJK to antimicrobial resistance and virulence factors in multidrug-resistant Acinetobacter baumannii AYE."
2,Peleg_2009,2009,Antimicrobial agents and chemotherapy,animal_model,,95,Galleria mellonella as a model system to study Acinetobacter baumannii pathogenesis and therapeutics.
3,Ramirez_2011,2011,Antimicrobial agents and chemotherapy,omics,abaI_abaR_axis|antibiotic_resistance,95,Genomic analysis of Acinetobacter baumannii A118 by comparison of optical maps: identification of structures related to its susceptibility phenotype.
4,Nosair_2025,2025,BMC microbiology,animal_model,qsi_discovery|quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|nanoparticle|natural_product|iron_metabolism,88,"Deciphering the efficacy of staphyloxanthin-encapsulated niosomal nanovesicles to attenuate biofilm formation, quorum sensing, and meropenem persistence in Acinetobacter baumannii."
5,Chen_2024,2024,International journal of antimicrobial agents,animal_model,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|iron_metabolism|epidemiology,85,Emergence of extensively-drug-resistant hypervirulent Acinetobacter baumannii isolated from patients with bacteraemia: bacterial phenotype and virulence analysis.
6,Harkova_2024,2024,PLoS pathogens,animal_model,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|peptide_amp|second_messenger|polymicrobial|epidemiology,83,Cyclic AMP is a global virulence regulator governing inter and intrabacterial signalling in Acinetobacter baumannii.
7,Guo_2024,2024,iScience,animal_model,qsi_discovery|abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|vaccine_immune,83,Acinetobacter baumannii biofilm was inhibited by tryptanthrin through disrupting its different stages and genes expression.
8,Cook_2024,2024,Frontiers in cellular and infection microbiology,omics,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|natural_product|second_messenger|iron_metabolism,83,DNA damage response coregulator ddrR affects many cellular pathways and processes in Acinetobacter baumannii 17978.
9,Santajit_2025,2025,Veterinary world,animal_model,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|polymicrobial|epidemiology,83,Phytochemical inhibition of quorum sensing and biofilm formation by Paederia foetida Linn. against multidrug-resistant Acinetobacter baumannii: An integrated in vitro and in silico investigation.
10,Sorenson_2025,2025,Microorganisms,review,qsi_discovery|quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|peptide_amp|review_synthesis,83,Biofilm Formation and the Role of Efflux Pumps in ESKAPE Pathogens.
11,Cui_2025,2025,Virulence,animal_model,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|peptide_amp|epidemiology,83,Carnosol attenuates Acinetobacter baumannii virulence by interfering with indole-mediated quorum sensing.
12,Cui_2025_2,2025,Computational and structural biotechnology journal,review,qsi_discovery|quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product|peptide_amp|second_messenger|review_synthesis,83,Signaling in Acinetobacter baumannii: Quorum sensing and nucleotide second messengers.
13,Beasley_2025,2025,bioRxiv : the preprint server for biology,clinical,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|drug_repurposing|second_messenger,83,Breaking the Phalanx: Overcoming Bacterial Drug Resistance with Quorum Sensing Inhibitors that Enhance Therapeutic Activity of Antibiotics.
14,Vallenet_2008,2008,PloS one,omics,quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|iron_metabolism|epidemiology,80,Comparative analysis of Acinetobacters: three genomes for three lifestyles.
15,Zhou_2011,2011,Antimicrobial agents and chemotherapy,other,abaI_abaR_axis|antibiotic_resistance,80,Genomic analysis of the multidrug-resistant Acinetobacter baumannii strain MDR-ZJ06 widely spread in China.
16,Krizova_2011,2011,Antimicrobial agents and chemotherapy,in_vitro,abaI_abaR_axis,80,Diversity and evolution of AbaR genomic resistance islands in Acinetobacter baumannii strains of European clone I.
17,Kim_2012,2012,Antimicrobial agents and chemotherapy,other,abaI_abaR_axis|antibiotic_resistance|epidemiology,80,Variations of AbaR4-type resistance islands in Acinetobacter baumannii isolates from South Korea.
18,Seputiene_2012,2012,Antimicrobial agents and chemotherapy,other,abaI_abaR_axis|antibiotic_resistance,80,Novel variants of AbaR resistance islands with a common backbone in Acinetobacter baumannii isolates of European clone II.
19,Ghavanloughajar_2025,2025,PloS one,animal_model,quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|vaccine_immune|iron_metabolism,80,Human whole blood influences the expression of Acinetobacter baumannii genes related to translation and siderophore production.
20,Stacy_2012_2,2012,ACS chemical biology,methodology,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|vaccine_immune|epidemiology,78,Attenuation of quorum sensing in the pathogen Acinetobacter baumannii using non-native N-Acyl homoserine lactones.
21,Benyamini_2024,2024,International journal of molecular sciences,animal_model,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|phage_therapy|natural_product,78,The Comparative Characterization of a Hypervirulent Acinetobacter baumannii Bacteremia Clinical Isolate Reveals a Novel Mechanism of Pathogenesis.
22,Escalante_2024,2024,Scientific reports,animal_model,qsi_discovery|quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|vaccine_immune|iron_metabolism,78,Carbapenem-resistant Acinetobacter baumannii (CRAB): metabolic adaptation and transcriptional response to human urine (HU).
23,Yao_2024,2024,"Antibiotics (Basel, Switzerland)",animal_model,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,75,"Comparison of Hypervirulent and Non-Hypervirulent Carbapenem-Resistant Acinetobacter baumannii Isolated from Bloodstream Infections: Mortality, Potential Virulence Factors, and Combination Therapy In "
24,Pumirat_2024,2024,Scientific reports,animal_model,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|natural_product|vaccine_immune,75,"Impact of AbaI mutation on virulence, biofilm development, and antibiotic susceptibility in Acinetobacter baumannii."
